interval_start_utc,interval_end_utc,respondent,load,load_forecast,net_generation,total_interchange
2022-11-01 00:00:00+00:00,2022-11-02 00:00:00+00:00,PACE,5179.2307692307692308,5323.8000000000000000,6625.1818181818181818,1344.3333333333333333
2022-11-02 00:00:00+00:00,2022-11-03 00:00:00+00:00,PACE,5367.2500000000000000,5594.2500000000000000,6041.4375000000000000,349.1250000000000000
2022-11-03 00:00:00+00:00,2022-11-04 00:00:00+00:00,PACE,5658.9285714285714286,5622.0714285714285714,5332.2631578947368421,-139.6111111111111111
2022-11-04 00:00:00+00:00,2022-11-05 00:00:00+00:00,PACE,5772.2857142857142857,5750.1250000000000000,5949.0000000000000000,341.9375000000000000
2022-11-05 00:00:00+00:00,2022-11-06 00:00:00+00:00,PACE,5524.1764705882352941,5484.4705882352941176,6041.9285714285714286,343.1333333333333333
2022-11-06 00:00:00+00:00,2022-11-07 00:00:00+00:00,PACE,5441.2105263157894737,5387.9333333333333333,5968.1875000000000000,508.1052631578947368
2022-11-07 00:00:00+00:00,2022-11-08 00:00:00+00:00,PACE,5571.2142857142857143,5590.3846153846153846,6594.7777777777777778,1071.0000000000000000
2022-11-08 00:00:00+00:00,2022-11-09 00:00:00+00:00,PACE,5608.8666666666666667,5576.5555555555555556,5944.9473684210526316,379.7058823529411765
2022-11-09 00:00:00+00:00,2022-11-10 00:00:00+00:00,PACE,5678.5000000000000000,5860.5789473684210526,5806.1250000000000000,114.2000000000000000
2022-11-10 00:00:00+00:00,2022-11-11 00:00:00+00:00,PACE,5835.5625000000000000,6079.4545454545454545,6436.7058823529411765,507.7500000000000000
2022-11-11 00:00:00+00:00,2022-11-12 00:00:00+00:00,PACE,5709.3333333333333333,5995.5882352941176471,6711.1500000000000000,1199.8888888888888889
2022-11-12 00:00:00+00:00,2022-11-13 00:00:00+00:00,PACE,5508.2500000000000000,5705.2222222222222222,6673.6666666666666667,1075.8235294117647059
2022-11-13 00:00:00+00:00,2022-11-14 00:00:00+00:00,PACE,5463.8750000000000000,5645.7142857142857143,6046.4166666666666667,475.9375000000000000
2022-11-14 00:00:00+00:00,2022-11-15 00:00:00+00:00,PACE,5643.5625000000000000,5862.2941176470588235,6816.5333333333333333,1063.9333333333333333
2022-11-15 00:00:00+00:00,2022-11-16 00:00:00+00:00,PACE,5719.9230769230769231,6040.9411764705882353,6580.0625000000000000,996.1538461538461538
2022-11-16 00:00:00+00:00,2022-11-17 00:00:00+00:00,PACE,5695.2500000000000000,5925.6000000000000000,6686.2666666666666667,965.7894736842105263
2022-11-17 00:00:00+00:00,2022-11-18 00:00:00+00:00,PACE,5667.2352941176470588,6064.7333333333333333,6859.5882352941176471,1175.2777777777777778
2022-11-18 00:00:00+00:00,2022-11-19 00:00:00+00:00,PACE,5764.5500000000000000,6066.0000000000000000,6660.9285714285714286,965.2500000000000000
