Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,Cancellations,load_forecast,Number of Flights,Month,TemperatureRange,LogPrecipitation,AvgTemp_7dayRolling
2021-11-01,63.0,46.0,54.5,6.7,10.0,0.0,0.0,0.0,0.0,7.0,5323.8,694.0,11.0,17.0,0.0,54.5
2021-11-02,58.0,44.0,51.0,3.7,14.0,0.0,0.06,0.0,0.0,0.0,5594.25,645.0,11.0,14.0,0.05826890812397577,51.0
2021-11-03,58.0,40.0,49.0,2.1,16.0,0.0,0.0,0.0,0.0,0.0,5622.071429,653.0,11.0,18.0,0.0,49.0
2021-11-04,67.0,39.0,53.0,6.5,12.0,0.0,0.0,0.0,0.0,2.0,5750.125,680.0,11.0,28.0,0.0,53.0
2021-11-05,66.0,41.0,53.5,7.4,11.0,0.0,0.0,0.0,0.0,4.0,5484.470588,676.0,11.0,25.0,0.0,53.5
2021-11-06,67.0,48.0,57.5,11.8,7.0,0.0,0.0,0.0,0.0,1.0,5387.933333,612.0,11.0,19.0,0.0,57.5
2021-11-07,54.0,42.0,48.0,2.7,17.0,0.0,0.0,0.0,0.0,3.0,5590.384615,661.0,11.0,12.0,0.0,52.357142857142854
2021-11-08,50.0,38.0,44.0,-0.9,21.0,0.0,0.0,0.0,0.0,4.0,5576.555556,658.0,11.0,12.0,0.0,50.857142857142854
2021-11-09,50.0,37.0,43.5,-1.0,21.0,0.0,0.25,0.0,0.0,2.0,5860.578947,628.0,11.0,13.0,0.22314355131420976,49.785714285714285
2021-11-10,52.0,39.0,45.5,1.5,19.0,0.0,1e-05,0.0,0.0,2.0,6079.454545,637.0,11.0,13.0,9.99995000033333e-06,49.285714285714285
2021-11-11,51.0,39.0,45.0,1.4,20.0,0.0,1e-05,0.0,0.0,2.0,5995.588235,664.0,11.0,12.0,9.99995000033333e-06,48.142857142857146
2021-11-12,62.0,46.0,54.0,10.8,11.0,0.0,0.0,0.0,0.0,0.0,5705.222222,662.0,11.0,16.0,0.0,48.214285714285715
2021-11-13,63.0,42.0,52.5,9.7,12.0,0.0,0.0,0.0,0.0,0.0,5645.714286,599.0,11.0,21.0,0.0,47.5
2021-11-14,66.0,43.0,54.5,12.1,10.0,0.0,0.0,0.0,0.0,2.0,5862.294118,663.0,11.0,23.0,0.0,48.42857142857143
2021-11-15,66.0,42.0,54.0,12.1,11.0,0.0,0.0,0.0,0.0,0.0,6040.941176,659.0,11.0,24.0,0.0,49.857142857142854
2021-11-16,61.0,33.0,47.0,5.5,18.0,0.0,1e-05,0.0,0.0,0.0,5925.6,629.0,11.0,28.0,9.99995000033333e-06,50.357142857142854
2021-11-17,42.0,28.0,35.0,-6.1,30.0,0.0,0.0,0.0,0.0,1.0,6064.733333,640.0,11.0,14.0,0.0,48.857142857142854
2021-11-18,45.0,28.0,36.5,-4.2,28.0,0.0,0.0,0.0,0.0,0.0,6066.0,666.0,11.0,17.0,0.0,47.642857142857146
2021-11-19,48.0,36.0,42.0,1.8,23.0,0.0,0.03,0.0,0.0,0.0,5849.125,673.0,11.0,12.0,0.0295588022415444,45.92857142857143
2021-11-20,48.0,34.0,41.0,1.2,24.0,0.0,1e-05,0.0,0.0,1.0,5829.0,633.0,11.0,14.0,9.99995000033333e-06,44.285714285714285
2021-11-21,47.0,28.0,37.5,-1.9,27.0,0.0,0.0,0.0,0.0,1.0,5944.65,670.0,11.0,19.0,0.0,41.857142857142854
2021-11-22,48.0,30.0,39.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,6001.846154,670.0,11.0,18.0,0.0,39.714285714285715
2021-11-23,50.0,28.0,39.0,0.4,26.0,0.0,0.0,0.0,0.0,2.0,6020.6,680.0,11.0,22.0,0.0,38.57142857142857
2021-11-24,42.0,30.0,36.0,-2.2,29.0,0.0,0.0,0.0,0.0,1.0,5846.357143,695.0,11.0,12.0,0.0,38.714285714285715
2021-11-25,46.0,26.0,36.0,-1.8,29.0,0.0,0.0,0.0,0.0,3.0,5622.9375,405.0,11.0,20.0,0.0,38.642857142857146
2021-11-26,46.0,27.0,36.5,-0.9,28.0,0.0,0.0,0.0,0.0,2.0,5728.333333,502.0,11.0,19.0,0.0,37.857142857142854
2021-11-27,50.0,27.0,38.5,1.5,26.0,0.0,0.0,0.0,0.0,0.0,5586.142857,678.0,11.0,23.0,0.0,37.5
2021-11-28,54.0,30.0,42.0,5.4,23.0,0.0,0.0,0.0,0.0,0.0,5753.333333,694.0,11.0,24.0,0.0,38.142857142857146
2021-11-29,55.0,31.0,43.0,6.8,22.0,0.0,0.0,0.0,0.0,2.0,6173.5625,687.0,11.0,24.0,0.0,38.714285714285715
2021-11-30,50.0,30.0,40.0,4.1,25.0,0.0,0.0,0.0,0.0,0.0,6364.578947,646.0,11.0,20.0,0.0,38.857142857142854
2021-12-01,55.0,30.0,42.5,7.0,22.0,0.0,0.0,0.0,0.0,1.0,6189.428571,626.0,12.0,25.0,0.0,39.785714285714285
2021-12-02,57.0,30.0,43.5,8.3,21.0,0.0,0.0,0.0,0.0,0.0,6158.142857,646.0,12.0,27.0,0.0,40.857142857142854
2021-12-03,52.0,30.0,41.0,6.2,24.0,0.0,0.0,0.0,0.0,0.0,6057.5,638.0,12.0,22.0,0.0,41.5
2021-12-04,56.0,30.0,43.0,8.5,22.0,0.0,0.0,0.0,0.0,0.0,5973.615385,516.0,12.0,26.0,0.0,42.142857142857146
2021-12-05,55.0,32.0,43.5,9.3,21.0,0.0,0.0,0.0,0.0,1.0,6378.1875,640.0,12.0,23.0,0.0,42.357142857142854
2021-12-06,43.0,29.0,36.0,2.1,29.0,0.0,0.0,0.0,0.0,0.0,6394.0,632.0,12.0,14.0,0.0,41.357142857142854
2021-12-07,52.0,33.0,42.5,8.9,22.0,0.0,0.0,0.0,0.0,0.0,6447.333333,592.0,12.0,19.0,0.0,41.714285714285715
2021-12-08,52.0,32.0,42.0,8.7,23.0,0.0,1e-05,0.0,0.0,1.0,6611.0,604.0,12.0,20.0,9.99995000033333e-06,41.642857142857146
2021-12-09,46.0,28.0,37.0,3.9,28.0,0.0,0.53,1.4,0.0,7.0,6452.727273,642.0,12.0,18.0,0.4252677354043441,40.714285714285715
2021-12-10,32.0,25.0,28.5,-4.3,36.0,0.0,0.04,0.8,1.0,3.0,5979.923077,632.0,12.0,7.0,0.039220713153281295,38.92857142857143
2021-12-11,32.0,22.0,27.0,-5.6,38.0,0.0,0.0,0.0,1.0,1.0,5964.058824,510.0,12.0,10.0,0.0,36.642857142857146
2021-12-12,49.0,32.0,40.5,8.1,24.0,0.0,0.0,0.0,1.0,0.0,6393.733333,640.0,12.0,17.0,0.0,36.214285714285715
2021-12-13,50.0,39.0,44.5,12.3,20.0,0.0,0.0,0.0,0.0,0.0,6443.941176,632.0,12.0,11.0,0.0,37.42857142857143
2021-12-14,56.0,32.0,44.0,12.0,21.0,0.0,0.44,4.5,0.0,29.0,6647.578947,594.0,12.0,24.0,0.3646431135879093,37.642857142857146
2021-12-15,33.0,21.0,27.0,-4.8,38.0,0.0,0.08,4.2,8.0,49.0,6711.6875,603.0,12.0,12.0,0.07696104113612832,35.5
2021-12-16,34.0,28.0,31.0,-0.6,34.0,0.0,1e-05,0.1,7.0,24.0,6689.666667,660.0,12.0,6.0,9.99995000033333e-06,34.642857142857146
2021-12-17,37.0,25.0,31.0,-0.5,34.0,0.0,1e-05,1e-05,6.0,3.0,6510.85,664.0,12.0,12.0,9.99995000033333e-06,35.0
2021-12-18,36.0,20.0,28.0,-3.3,37.0,0.0,0.0,0.0,4.0,5.0,6340.214286,632.0,12.0,16.0,0.0,35.142857142857146
2021-12-19,34.0,18.0,26.0,-5.2,39.0,0.0,0.0,0.0,4.0,1.0,6713.411765,656.0,12.0,16.0,0.0,33.07142857142857
2021-12-20,39.0,22.0,30.5,-0.6,34.0,0.0,0.0,0.0,3.0,0.0,6608.75,660.0,12.0,17.0,0.0,31.071428571428573
2021-12-21,38.0,22.0,30.0,-1.0,35.0,0.0,0.0,0.0,3.0,0.0,6524.117647,654.0,12.0,16.0,0.0,29.071428571428573
2021-12-22,32.0,14.0,23.0,-7.9,42.0,0.0,0.0,0.0,3.0,0.0,6729.9375,662.0,12.0,18.0,0.0,28.5
2021-12-23,50.0,28.0,39.0,8.2,26.0,0.0,0.11,0.0,3.0,10.0,6729.666667,681.0,12.0,22.0,0.10436001532424277,29.642857142857142
2021-12-24,46.0,35.0,40.5,9.7,24.0,0.0,0.02,1e-05,0.0,27.0,6427.333333,506.0,12.0,11.0,0.019802627296179712,31.0
2021-12-25,49.0,35.0,42.0,11.3,23.0,0.0,0.0,0.0,0.0,36.0,5871.230769,487.0,12.0,14.0,0.0,33.0
2021-12-26,43.0,29.0,36.0,5.3,29.0,0.0,0.13,1.5,2.0,107.0,6063.5,677.0,12.0,14.0,0.12221763272424921,34.42857142857143
2021-12-27,39.0,22.0,30.5,-0.1,34.0,0.0,0.13,3.0,1.0,84.0,6343.5,678.0,12.0,17.0,0.12221763272424921,34.42857142857143
2021-12-28,26.0,19.0,22.5,-8.1,42.0,0.0,0.02,0.4,3.0,42.0,6190.2,668.0,12.0,7.0,0.019802627296179712,33.357142857142854
2021-12-29,34.0,16.0,25.0,-5.6,40.0,0.0,0.0,0.0,2.0,36.0,6212.818182,674.0,12.0,18.0,0.0,33.642857142857146
2021-12-30,43.0,31.0,37.0,6.4,28.0,0.0,0.14,2.0,2.0,54.0,6343.727273,681.0,12.0,12.0,0.13102826240640408,33.357142857142854
