FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
4/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0547,-1.00,0722,-8.00,0.00,0.00,78.00,493.00,,,,,,,
4/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1239,-6.00,1424,-7.00,0.00,0.00,84.00,493.00,,,,,,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,1590.00,,,,,,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0809,-1.00,1138,68.00,0.00,0.00,261.00,1590.00,0.00,0.00,68.00,0.00,0.00,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1125,70.00,1339,62.00,0.00,0.00,235.00,1590.00,25.00,0.00,0.00,0.00,37.00,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1350,0.00,1625,16.00,0.00,0.00,240.00,1590.00,0.00,0.00,16.00,0.00,0.00,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1520,-1.00,1738,-3.00,0.00,0.00,237.00,1590.00,,,,,,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1839,66.00,2052,63.00,0.00,0.00,225.00,1590.00,63.00,0.00,0.00,0.00,0.00,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1936,0.00,2148,-5.00,0.00,0.00,234.00,1590.00,,,,,,,
4/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2251,36.00,0102,29.00,0.00,0.00,232.00,1590.00,12.00,0.00,0.00,0.00,17.00,,
4/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0515,-5.00,0709,-16.00,0.00,0.00,152.00,1086.00,,,,,,,
4/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1230,13.00,1430,4.00,0.00,0.00,154.00,1086.00,,,,,,,
4/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1354,4.00,1546,-9.00,0.00,0.00,156.00,1086.00,,,,,,,
4/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1758,77.00,2032,78.00,0.00,0.00,75.00,477.00,0.00,0.00,1.00,42.00,35.00,,
4/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1819,34.00,2043,25.00,0.00,0.00,67.00,477.00,0.00,0.00,0.00,25.00,0.00,,
4/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0516,-14.00,0632,-23.00,0.00,0.00,60.00,387.00,,,,,,,
4/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1138,-4.00,1306,-4.00,0.00,0.00,73.00,387.00,,,,,,,
4/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,PVU,"Provo, UT",Utah,1000,0.00,1307,27.00,0.00,0.00,223.00,1388.00,0.00,0.00,27.00,0.00,0.00,,
4/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0659,-5.00,0954,-1.00,0.00,0.00,215.00,1404.00,,,,,,,
4/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1305,5.00,1605,15.00,0.00,0.00,223.00,1404.00,0.00,0.00,15.00,0.00,0.00,,
4/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1906,-3.00,2205,8.00,0.00,0.00,210.00,1404.00,,,,,,,
4/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0617,4.00,0719,-11.00,0.00,0.00,42.00,290.00,,,,,,,
4/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1054,-5.00,1156,-16.00,0.00,0.00,43.00,290.00,,,,,,,
4/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1309,-6.00,1409,-16.00,0.00,0.00,42.00,290.00,,,,,,,
4/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1511,6.00,1616,-2.00,0.00,0.00,44.00,290.00,,,,,,,
4/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0626,11.00,0941,-21.00,0.00,0.00,291.00,2105.00,,,,,,,
4/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1051,0.00,1425,-8.00,0.00,0.00,299.00,2105.00,,,,,,,
4/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1759,-1.00,2146,14.00,0.00,0.00,312.00,2105.00,,,,,,,
4/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1847,62.00,2225,55.00,0.00,0.00,308.00,2105.00,55.00,0.00,0.00,0.00,0.00,,
4/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1132,4.00,1245,-15.00,0.00,0.00,59.00,358.00,,,,,,,
4/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,2001,106.00,2117,87.00,0.00,0.00,55.00,358.00,87.00,0.00,0.00,0.00,0.00,,
