FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
8/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0522,-8.00,0654,-9.00,0.00,0.00,70.00,493.00,,,,,,,
8/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1144,-6.00,1312,-19.00,0.00,0.00,74.00,493.00,,,,,,,
8/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1756,-9.00,1935,-12.00,0.00,0.00,73.00,493.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0839,24.00,1022,1.00,0.00,0.00,199.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1036,0.00,1212,-23.00,0.00,0.00,203.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1158,-4.00,1330,-29.00,0.00,0.00,198.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1423,17.00,1613,8.00,0.00,0.00,213.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1520,-1.00,1705,-20.00,0.00,0.00,207.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1826,29.00,2017,19.00,0.00,0.00,205.00,1590.00,17.00,0.00,0.00,0.00,2.00,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1955,0.00,2146,-11.00,0.00,0.00,209.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2129,1.00,2326,-9.00,0.00,0.00,204.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2307,13.00,0049,-10.00,0.00,0.00,196.00,1590.00,,,,,,,
8/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,1086.00,,,,,,,
8/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0514,-6.00,0657,-14.00,0.00,0.00,139.00,1086.00,,,,,,,
