FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
8/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0554,-1.00,0722,-13.00,0.00,0.00,77.00,493.00,,,,,,,
8/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1225,-5.00,1359,-17.00,0.00,0.00,78.00,493.00,,,,,,,
8/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1836,46.00,2003,28.00,0.00,0.00,75.00,493.00,28.00,0.00,0.00,0.00,0.00,,
8/1/2022 12:00:00 AM,ANC,"Anchorage, AK",Alaska,SLC,"Salt Lake City, UT",Utah,2358,28.00,0606,2.00,0.00,0.00,232.00,2125.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0808,-2.00,0957,-15.00,0.00,0.00,211.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1029,-4.00,1221,-8.00,0.00,0.00,208.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1215,0.00,1411,3.00,0.00,0.00,209.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1401,-4.00,1553,-7.00,0.00,0.00,203.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1527,5.00,1711,-8.00,0.00,0.00,202.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1749,0.00,1939,-10.00,0.00,0.00,209.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1932,0.00,2121,-14.00,0.00,0.00,197.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2010,0.00,2157,-18.00,0.00,0.00,214.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2238,0.00,0024,-15.00,0.00,0.00,203.00,1590.00,,,,,,,
8/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0828,-2.00,1004,-21.00,0.00,0.00,143.00,1086.00,,,,,,,
8/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1049,4.00,1236,11.00,0.00,0.00,146.00,1086.00,,,,,,,
8/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1242,-4.00,1422,-18.00,0.00,0.00,142.00,1086.00,,,,,,,
8/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1735,-5.00,1922,-12.00,0.00,0.00,146.00,1086.00,,,,,,,
