FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
12/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0536,-4.00,0723,-10.00,0.00,0.00,84.00,493.00,,,,,,,
12/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1241,-6.00,1420,-14.00,0.00,0.00,80.00,493.00,,,,,,,
12/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1737,-5.00,1929,-2.00,0.00,0.00,90.00,493.00,,,,,,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0814,4.00,1023,-4.00,0.00,0.00,221.00,1590.00,,,,,,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1014,-1.00,1223,-12.00,0.00,0.00,225.00,1590.00,,,,,,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1217,2.00,1424,-8.00,0.00,0.00,234.00,1590.00,,,,,,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1343,-2.00,1613,12.00,0.00,0.00,237.00,1590.00,,,,,,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1516,11.00,1757,37.00,0.00,0.00,254.00,1590.00,11.00,0.00,26.00,0.00,0.00,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1756,-1.00,2015,0.00,0.00,0.00,241.00,1590.00,,,,,,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1952,0.00,2214,9.00,0.00,0.00,233.00,1590.00,,,,,,,
12/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2143,0.00,2354,-4.00,0.00,0.00,237.00,1590.00,,,,,,,
