FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
12/1/2021 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0541,-6.00,0704,-31.00,0.00,0.00,71.00,493.00,,,,,,,
12/1/2021 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1149,-1.00,1328,-7.00,0.00,0.00,78.00,493.00,,,,,,,
12/1/2021 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1822,7.00,1958,-2.00,0.00,0.00,76.00,493.00,,,,,,,
12/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0820,-5.00,1029,-12.00,0.00,0.00,219.00,1590.00,,,,,,,
12/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0957,-3.00,1145,-24.00,0.00,0.00,210.00,1590.00,,,,,,,
12/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1400,0.00,1556,-17.00,0.00,0.00,213.00,1590.00,,,,,,,
12/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1510,0.00,1659,-20.00,0.00,0.00,208.00,1590.00,,,,,,,
12/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1830,40.00,2018,20.00,0.00,0.00,204.00,1590.00,10.00,0.00,0.00,0.00,10.00,,
12/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1940,-1.00,2135,-17.00,0.00,0.00,207.00,1590.00,,,,,,,
12/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2104,-1.00,2303,-10.00,0.00,0.00,211.00,1590.00,,,,,,,
12/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0753,-2.00,0940,-18.00,0.00,0.00,146.00,1086.00,,,,,,,
12/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1234,-1.00,1422,-13.00,0.00,0.00,143.00,1086.00,,,,,,,
12/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1256,-4.00,1436,-19.00,0.00,0.00,143.00,1086.00,,,,,,,
12/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,2115,95.00,2300,80.00,0.00,0.00,143.00,1086.00,80.00,0.00,0.00,0.00,0.00,,
12/1/2021 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1458,-5.00,1629,-3.00,0.00,0.00,68.00,477.00,,,,,,,
12/1/2021 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0556,-4.00,0717,-8.00,0.00,0.00,60.00,387.00,,,,,,,
12/1/2021 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1212,-4.00,1326,-18.00,0.00,0.00,63.00,387.00,,,,,,,
12/1/2021 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1823,-5.00,1941,-22.00,0.00,0.00,64.00,387.00,,,,,,,
12/1/2021 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0723,-9.00,1015,-12.00,0.00,0.00,193.00,1404.00,,,,,,,
12/1/2021 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0559,-1.00,0717,-2.00,0.00,0.00,47.00,290.00,,,,,,,
12/1/2021 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1137,-5.00,1238,-12.00,0.00,0.00,43.00,290.00,,,,,,,
12/1/2021 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1311,-2.00,1413,-6.00,0.00,0.00,47.00,290.00,,,,,,,
12/1/2021 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1534,-5.00,1637,-13.00,0.00,0.00,48.00,290.00,,,,,,,
12/1/2021 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1934,-4.00,2053,-6.00,0.00,0.00,48.00,290.00,,,,,,,
12/1/2021 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0614,-1.00,0953,6.00,0.00,0.00,304.00,2105.00,,,,,,,
12/1/2021 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1755,5.00,2120,-6.00,0.00,0.00,296.00,2105.00,,,,,,,
12/1/2021 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,0712,-3.00,0819,-18.00,0.00,0.00,55.00,358.00,,,,,,,
