FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
2/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0535,-5.00,0713,-14.00,0.00,0.00,72.00,493.00,,,,,,,
2/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1228,-10.00,1403,-27.00,0.00,0.00,75.00,493.00,,,,,,,
2/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1733,-18.00,1904,-37.00,0.00,0.00,73.00,493.00,,,,,,,
2/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0756,-3.00,1012,-10.00,0.00,0.00,233.00,1590.00,,,,,,,
2/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1133,30.00,1329,7.00,0.00,0.00,218.00,1590.00,,,,,,,
2/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1221,21.00,1430,15.00,0.00,0.00,228.00,1590.00,14.00,0.00,0.00,0.00,1.00,,
2/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1518,6.00,1725,-4.00,0.00,0.00,225.00,1590.00,,,,,,,
2/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1750,-3.00,2000,-10.00,0.00,0.00,225.00,1590.00,,,,,,,
2/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1929,0.00,2130,-15.00,0.00,0.00,222.00,1590.00,,,,,,,
2/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2124,-6.00,2328,-20.00,0.00,0.00,221.00,1590.00,,,,,,,
2/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,1086.00,,,,,,,
2/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,1086.00,,,,,,,
2/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1227,77.00,1425,80.00,0.00,0.00,145.00,1086.00,25.00,0.00,3.00,0.00,52.00,,
2/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1245,20.00,1444,13.00,0.00,0.00,140.00,1086.00,,,,,,,
2/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,2048,5.00,2219,2.00,0.00,0.00,76.00,477.00,,,,,,,
2/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0514,-7.00,0631,-23.00,0.00,0.00,58.00,387.00,,,,,,,
2/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1147,-5.00,1307,-8.00,0.00,0.00,62.00,387.00,,,,,,,
2/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1853,-1.00,2013,-13.00,0.00,0.00,62.00,387.00,,,,,,,
2/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0740,12.00,1056,31.00,0.00,0.00,210.00,1404.00,0.00,12.00,19.00,0.00,0.00,,
2/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0603,-2.00,0725,0.00,0.00,0.00,45.00,290.00,,,,,,,
2/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1109,-6.00,1216,-12.00,0.00,0.00,47.00,290.00,,,,,,,
2/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1318,-1.00,1427,-3.00,0.00,0.00,46.00,290.00,,,,,,,
2/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1509,-7.00,1618,-10.00,0.00,0.00,48.00,290.00,,,,,,,
2/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1950,-9.00,2101,-12.00,0.00,0.00,47.00,290.00,,,,,,,
2/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0609,4.00,1002,8.00,0.00,0.00,310.00,2105.00,,,,,,,
2/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1836,41.00,2230,48.00,0.00,0.00,320.00,2105.00,41.00,0.00,7.00,0.00,0.00,,
2/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1130,-10.00,1251,-16.00,0.00,0.00,59.00,358.00,,,,,,,
2/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1805,-10.00,1917,-26.00,0.00,0.00,59.00,358.00,,,,,,,
2/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0655,-5.00,0958,-8.00,0.00,0.00,99.00,574.00,,,,,,,
2/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1002,-8.00,1300,-4.00,0.00,0.00,86.00,574.00,,,,,,,
2/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1211,-4.00,1455,-5.00,0.00,0.00,87.00,574.00,,,,,,,
2/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1709,-6.00,2005,-9.00,0.00,0.00,90.00,574.00,,,,,,,
