FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
2/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0634,-6.00,0803,-31.00,0.00,0.00,78.00,493.00,,,,,,,
2/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1242,-10.00,1434,-10.00,0.00,0.00,84.00,493.00,,,,,,,
2/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1814,-6.00,1959,-16.00,0.00,0.00,78.00,493.00,,,,,,,
2/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0804,-1.00,1008,-22.00,0.00,0.00,219.00,1590.00,,,,,,,
2/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0955,5.00,1201,-9.00,0.00,0.00,213.00,1590.00,,,,,,,
2/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1221,-1.00,1414,-31.00,0.00,0.00,215.00,1590.00,,,,,,,
2/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1407,-4.00,1605,-28.00,0.00,0.00,220.00,1590.00,,,,,,,
2/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1752,-1.00,2001,-14.00,0.00,0.00,227.00,1590.00,,,,,,,
2/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1924,-6.00,2122,-28.00,0.00,0.00,223.00,1590.00,,,,,,,
2/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2214,62.00,0017,48.00,0.00,0.00,224.00,1590.00,48.00,0.00,0.00,0.00,0.00,,
2/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0752,-8.00,1001,-12.00,0.00,0.00,150.00,1086.00,,,,,,,
2/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1129,-1.00,1320,-5.00,0.00,0.00,155.00,1086.00,,,,,,,
2/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1200,-5.00,1355,-22.00,0.00,0.00,156.00,1086.00,,,,,,,
2/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1923,-7.00,2114,-24.00,0.00,0.00,155.00,1086.00,,,,,,,
2/1/2022 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1758,4.00,1938,13.00,0.00,0.00,74.00,477.00,,,,,,,
2/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0550,-6.00,0737,2.00,0.00,0.00,64.00,387.00,,,,,,,
2/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1214,-6.00,1330,-21.00,0.00,0.00,64.00,387.00,,,,,,,
2/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1910,42.00,2034,23.00,0.00,0.00,65.00,387.00,23.00,0.00,0.00,0.00,0.00,,
2/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0650,-1.00,0922,-33.00,0.00,0.00,196.00,1404.00,,,,,,,
2/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1344,-1.00,1616,-19.00,0.00,0.00,199.00,1404.00,,,,,,,
2/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0559,-1.00,0713,-11.00,0.00,0.00,45.00,290.00,,,,,,,
2/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1130,-5.00,1235,-13.00,0.00,0.00,48.00,290.00,,,,,,,
2/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1308,-3.00,1408,-13.00,0.00,0.00,47.00,290.00,,,,,,,
2/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1716,90.00,1826,91.00,0.00,0.00,50.00,290.00,0.00,91.00,0.00,0.00,0.00,,
2/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1935,-7.00,2037,-25.00,0.00,0.00,48.00,290.00,,,,,,,
2/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0602,-3.00,0939,-11.00,0.00,0.00,308.00,2105.00,,,,,,,
2/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1744,-1.00,2112,-12.00,0.00,0.00,304.00,2105.00,,,,,,,
2/1/2022 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,0705,-5.00,0841,3.00,0.00,0.00,64.00,358.00,,,,,,,
2/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0650,-15.00,0950,-18.00,0.00,0.00,85.00,574.00,,,,,,,
2/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1006,-4.00,1249,-20.00,0.00,0.00,82.00,574.00,,,,,,,
2/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1241,-4.00,1515,-10.00,0.00,0.00,77.00,574.00,,,,,,,
2/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1318,-2.00,1600,-15.00,0.00,0.00,81.00,574.00,,,,,,,
2/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1700,-2.00,1948,-11.00,0.00,0.00,84.00,574.00,,,,,,,
2/1/2022 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,1305,-5.00,1557,-18.00,0.00,0.00,271.00,1865.00,,,,,,,
2/1/2022 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,1345,10.00,1625,-5.00,0.00,0.00,266.00,1865.00,,,,,,,
2/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,0554,-6.00,0720,-14.00,0.00,0.00,55.00,347.00,,,,,,,
2/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1122,-15.00,1239,-16.00,0.00,0.00,61.00,347.00,,,,,,,
2/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1319,-1.00,1436,-8.00,0.00,0.00,60.00,347.00,,,,,,,
2/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1824,-10.00,2000,-4.00,0.00,0.00,58.00,347.00,,,,,,,
2/1/2022 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,0726,-4.00,0830,-13.00,0.00,0.00,38.00,221.00,,,,,,,
2/1/2022 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,1855,-9.00,1950,-41.00,0.00,0.00,40.00,221.00,,,,,,,
