FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
1/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0538,-2.00,0726,-4.00,0.00,0.00,78.00,493.00,,,,,,,
1/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1247,7.00,1422,-5.00,0.00,0.00,74.00,493.00,,,,,,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0809,4.00,1021,-2.00,0.00,0.00,224.00,1590.00,,,,,,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1024,19.00,1250,29.00,0.00,0.00,221.00,1590.00,19.00,0.00,10.00,0.00,0.00,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1151,6.00,1411,11.00,0.00,0.00,235.00,1590.00,,,,,,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1417,7.00,1622,-3.00,0.00,0.00,220.00,1590.00,,,,,,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1529,-2.00,1725,-24.00,0.00,0.00,211.00,1590.00,,,,,,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1738,-2.00,1943,-15.00,0.00,0.00,223.00,1590.00,,,,,,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2008,9.00,2207,-7.00,0.00,0.00,215.00,1590.00,,,,,,,
1/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2112,27.00,2303,3.00,0.00,0.00,210.00,1590.00,,,,,,,
1/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1216,-2.00,1418,3.00,0.00,0.00,151.00,1086.00,,,,,,,
1/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1248,28.00,1435,15.00,0.00,0.00,149.00,1086.00,15.00,0.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1508,423.00,1655,409.00,0.00,0.00,146.00,1086.00,409.00,0.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1039,878.00,,,1.00,0.00,,477.00,,,,,,,
1/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1830,118.00,2116,193.00,0.00,0.00,69.00,477.00,83.00,0.00,75.00,0.00,35.00,,
1/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0523,-2.00,0647,-2.00,0.00,0.00,68.00,387.00,,,,,,,
1/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1151,-4.00,1321,1.00,0.00,0.00,71.00,387.00,,,,,,,
1/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0757,38.00,1118,61.00,0.00,0.00,229.00,1404.00,38.00,0.00,23.00,0.00,0.00,,
1/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1629,-1.00,1919,-7.00,0.00,0.00,193.00,1404.00,,,,,,,
1/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0557,-3.00,0718,-6.00,0.00,0.00,47.00,290.00,,,,,,,
1/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1457,104.00,1617,111.00,0.00,0.00,59.00,290.00,7.00,0.00,7.00,0.00,97.00,,
1/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0614,-1.00,1015,16.00,0.00,0.00,319.00,2105.00,0.00,0.00,16.00,0.00,0.00,,
1/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1802,12.00,2149,15.00,0.00,0.00,313.00,2105.00,0.00,0.00,3.00,0.00,12.00,,
1/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,2059,162.00,0212,,0.00,1.00,,2105.00,,,,,,255.00,0.00
1/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1812,-3.00,1926,-17.00,0.00,0.00,61.00,358.00,,,,,,,
1/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0700,-5.00,1011,5.00,0.00,0.00,78.00,574.00,,,,,,,
1/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1030,14.00,1318,9.00,0.00,0.00,76.00,574.00,,,,,,,
1/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1500,30.00,1828,73.00,0.00,0.00,79.00,574.00,0.00,0.00,43.00,0.00,30.00,,
1/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1909,63.00,2155,56.00,0.00,0.00,85.00,574.00,0.00,56.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,0705,20.00,1046,51.00,0.00,0.00,306.00,1865.00,20.00,0.00,31.00,0.00,0.00,,
1/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,0554,-6.00,0741,12.00,0.00,0.00,64.00,347.00,,,,,,,
1/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,2036,129.00,2159,116.00,0.00,0.00,68.00,347.00,116.00,0.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,1936,34.00,2051,46.00,0.00,0.00,38.00,221.00,0.00,46.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,1729,34.00,1947,2.00,0.00,0.00,231.00,1727.00,,,,,,,
1/1/2023 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,1907,-8.00,2149,3.00,0.00,0.00,245.00,1727.00,,,,,,,
1/1/2023 12:00:00 AM,CNY,"Moab, UT",Utah,DEN,"Denver, CO",Colorado,1457,-1.00,1610,-14.00,0.00,0.00,46.00,283.00,,,,,,,
1/1/2023 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0937,77.00,1121,62.00,0.00,0.00,80.00,411.00,62.00,0.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1333,62.00,1518,58.00,0.00,0.00,78.00,411.00,0.00,58.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,CPR,"Casper, WY",Wyoming,SLC,"Salt Lake City, UT",Utah,0916,16.00,1125,57.00,0.00,0.00,66.00,320.00,0.00,57.00,0.00,0.00,0.00,,
1/1/2023 12:00:00 AM,CVG,"Cincinnati, OH",Kentucky,SLC,"Salt Lake City, UT",Utah,0757,-3.00,1025,23.00,0.00,0.00,213.00,1450.00,0.00,0.00,23.00,0.00,0.00,,
1/1/2023 12:00:00 AM,DAL,"Dallas, TX",Texas,SLC,"Salt Lake City, UT",Utah,0935,0.00,1229,54.00,0.00,0.00,146.00,999.00,0.00,0.00,54.00,0.00,0.00,,
1/1/2023 12:00:00 AM,DAL,"Dallas, TX",Texas,SLC,"Salt Lake City, UT",Utah,1935,30.00,2122,22.00,0.00,0.00,132.00,999.00,15.00,0.00,0.00,0.00,7.00,,
1/1/2023 12:00:00 AM,DCA,"Washington, DC",Virginia,SLC,"Salt Lake City, UT",Utah,1846,93.00,2134,79.00,0.00,0.00,267.00,1851.00,14.00,0.00,0.00,0.00,65.00,,
1/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,CNY,"Moab, UT",Utah,1252,-8.00,1403,-20.00,0.00,0.00,48.00,283.00,,,,,,,
1/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,1542,2.00,1732,1.00,0.00,0.00,82.00,517.00,,,,,,,
1/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,2036,-1.00,2242,12.00,0.00,0.00,101.00,517.00,,,,,,,
1/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0144,158.00,0326,164.00,0.00,0.00,56.00,391.00,0.00,73.00,37.00,0.00,54.00,,
1/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0657,-3.00,0830,-10.00,0.00,0.00,65.00,391.00,,,,,,,
1/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0702,2.00,0849,2.00,0.00,0.00,64.00,391.00,,,,,,,
