FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
1/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0812,-3.00,0950,-19.00,0.00,0.00,79.00,493.00,,,,,,,
1/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1258,18.00,1453,27.00,0.00,0.00,75.00,493.00,27.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0805,-5.00,1033,6.00,0.00,0.00,230.00,1590.00,,,,,,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1019,24.00,1226,16.00,0.00,0.00,224.00,1590.00,16.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1233,18.00,1443,13.00,0.00,0.00,227.00,1590.00,,,,,,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1410,2.00,1608,-14.00,0.00,0.00,217.00,1590.00,,,,,,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1511,1.00,1715,-11.00,0.00,0.00,221.00,1590.00,,,,,,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1627,-3.00,1829,-17.00,0.00,0.00,220.00,1590.00,,,,,,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1828,38.00,2023,20.00,0.00,0.00,216.00,1590.00,20.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1930,10.00,2134,4.00,0.00,0.00,224.00,1590.00,,,,,,,
1/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0807,-3.00,1009,-3.00,0.00,0.00,143.00,1086.00,,,,,,,
1/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1151,-9.00,1345,-22.00,0.00,0.00,147.00,1086.00,,,,,,,
1/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1611,91.00,1758,78.00,0.00,0.00,145.00,1086.00,22.00,0.00,0.00,0.00,56.00,,
1/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1634,-6.00,1827,-9.00,0.00,0.00,146.00,1086.00,,,,,,,
1/1/2022 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,,,,,1.00,0.00,,477.00,,,,,,,
1/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0646,-4.00,0834,14.00,0.00,0.00,58.00,387.00,,,,,,,
1/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1246,-4.00,1402,-21.00,0.00,0.00,58.00,387.00,,,,,,,
1/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0730,5.00,1033,5.00,0.00,0.00,203.00,1404.00,,,,,,,
1/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1320,5.00,1646,46.00,0.00,0.00,203.00,1404.00,0.00,0.00,46.00,0.00,0.00,,
1/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0656,-4.00,0823,-12.00,0.00,0.00,47.00,290.00,,,,,,,
1/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1241,-14.00,1351,-21.00,0.00,0.00,46.00,290.00,,,,,,,
1/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1936,116.00,2030,80.00,0.00,0.00,42.00,290.00,80.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0634,24.00,1034,42.00,0.00,0.00,340.00,2105.00,24.00,0.00,18.00,0.00,0.00,,
1/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1630,15.00,2007,14.00,0.00,0.00,308.00,2105.00,,,,,,,
1/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,2117,116.00,0141,157.00,0.00,0.00,305.00,2105.00,52.00,0.00,41.00,0.00,64.00,,
1/1/2022 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,0710,-5.00,0846,4.00,0.00,0.00,56.00,358.00,,,,,,,
1/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0702,-8.00,1032,16.00,0.00,0.00,96.00,574.00,16.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0815,0.00,1058,-2.00,0.00,0.00,88.00,574.00,,,,,,,
1/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1326,-4.00,1619,-9.00,0.00,0.00,93.00,574.00,,,,,,,
1/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1701,2.00,1952,-2.00,0.00,0.00,91.00,574.00,,,,,,,
1/1/2022 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,1418,43.00,1715,45.00,0.00,0.00,279.00,1865.00,25.00,0.00,2.00,0.00,18.00,,
1/1/2022 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,1601,1.00,1907,1.00,0.00,0.00,274.00,1865.00,,,,,,,
1/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,0658,-2.00,0816,-13.00,0.00,0.00,50.00,347.00,,,,,,,
1/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1312,-2.00,1421,-18.00,0.00,0.00,55.00,347.00,,,,,,,
1/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1754,-5.00,1905,-33.00,0.00,0.00,54.00,347.00,,,,,,,
1/1/2022 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,0727,-8.00,0835,-10.00,0.00,0.00,40.00,221.00,,,,,,,
1/1/2022 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,0713,-7.00,0948,-20.00,0.00,0.00,249.00,1727.00,,,,,,,
1/1/2022 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,1004,-5.00,1234,-9.00,0.00,0.00,254.00,1727.00,,,,,,,
1/1/2022 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,2046,-4.00,2316,-17.00,0.00,0.00,245.00,1727.00,,,,,,,
1/1/2022 12:00:00 AM,CNY,"Moab, UT",Utah,DEN,"Denver, CO",Colorado,1548,33.00,1658,21.00,0.00,0.00,49.00,283.00,0.00,0.00,0.00,0.00,21.00,,
1/1/2022 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0751,-9.00,1007,1.00,0.00,0.00,82.00,411.00,,,,,,,
1/1/2022 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1237,7.00,1447,22.00,0.00,0.00,76.00,411.00,22.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1821,21.00,2015,20.00,0.00,0.00,74.00,411.00,20.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,CPR,"Casper, WY",Wyoming,SLC,"Salt Lake City, UT",Utah,1005,90.00,1144,96.00,0.00,0.00,55.00,320.00,96.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,CVG,"Cincinnati, OH",Kentucky,SLC,"Salt Lake City, UT",Utah,0818,-2.00,1027,-2.00,0.00,0.00,216.00,1450.00,,,,,,,
1/1/2022 12:00:00 AM,DAL,"Dallas, TX",Texas,SLC,"Salt Lake City, UT",Utah,1105,5.00,1241,-9.00,0.00,0.00,136.00,999.00,,,,,,,
1/1/2022 12:00:00 AM,DAL,"Dallas, TX",Texas,SLC,"Salt Lake City, UT",Utah,2047,32.00,2226,21.00,0.00,0.00,145.00,999.00,18.00,0.00,0.00,0.00,3.00,,
1/1/2022 12:00:00 AM,DCA,"Washington, DC",Virginia,SLC,"Salt Lake City, UT",Utah,1712,2.00,2018,4.00,0.00,0.00,277.00,1851.00,,,,,,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,CNY,"Moab, UT",Utah,1404,39.00,1525,40.00,0.00,0.00,54.00,283.00,40.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,1229,19.00,1437,38.00,0.00,0.00,73.00,517.00,38.00,0.00,0.00,0.00,0.00,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,2159,99.00,2343,91.00,0.00,0.00,70.00,517.00,0.00,0.00,0.00,0.00,91.00,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0019,144.00,0139,134.00,0.00,0.00,62.00,391.00,69.00,0.00,0.00,0.00,65.00,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0104,134.00,0251,145.00,0.00,0.00,66.00,391.00,98.00,0.00,41.00,0.00,6.00,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0803,833.00,0954,847.00,0.00,0.00,72.00,391.00,833.00,0.00,14.00,0.00,0.00,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0841,41.00,1029,49.00,0.00,0.00,63.00,391.00,29.00,0.00,8.00,0.00,12.00,,
1/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0921,67.00,1113,66.00,0.00,0.00,60.00,391.00,66.00,0.00,0.00,0.00,0.00,,
