FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
7/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0550,-5.00,0717,-18.00,0.00,0.00,75.00,493.00,,,,,,,
7/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1225,-5.00,1402,-14.00,0.00,0.00,78.00,493.00,,,,,,,
7/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1749,-1.00,1920,-15.00,0.00,0.00,73.00,493.00,,,,,,,
7/1/2022 12:00:00 AM,ANC,"Anchorage, AK",Alaska,SLC,"Salt Lake City, UT",Utah,2326,-4.00,0605,1.00,0.00,0.00,250.00,2125.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0806,-4.00,0948,-26.00,0.00,0.00,205.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1028,-2.00,1213,-16.00,0.00,0.00,206.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1201,-3.00,1347,-16.00,0.00,0.00,210.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1359,-4.00,1548,-15.00,0.00,0.00,209.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1558,38.00,1743,24.00,0.00,0.00,207.00,1590.00,24.00,0.00,0.00,0.00,0.00,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1740,-4.00,1921,-28.00,0.00,0.00,202.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1856,-4.00,2031,-35.00,0.00,0.00,202.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2026,15.00,2222,7.00,0.00,0.00,206.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2241,16.00,0036,7.00,0.00,0.00,206.00,1590.00,,,,,,,
7/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,1086.00,,,,,,,
7/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0531,-9.00,0730,-5.00,0.00,0.00,151.00,1086.00,,,,,,,
7/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1030,5.00,1221,11.00,0.00,0.00,147.00,1086.00,,,,,,,
7/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1240,-2.00,1436,-4.00,0.00,0.00,158.00,1086.00,,,,,,,
7/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1736,-4.00,1917,-21.00,0.00,0.00,140.00,1086.00,,,,,,,
7/1/2022 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,0555,-15.00,0821,-15.00,0.00,0.00,69.00,477.00,,,,,,,
7/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1216,1.00,1335,-10.00,0.00,0.00,61.00,387.00,,,,,,,
7/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1837,772.00,1953,765.00,0.00,0.00,61.00,387.00,765.00,0.00,0.00,0.00,0.00,,
7/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1842,-2.00,2007,-8.00,0.00,0.00,64.00,387.00,,,,,,,
7/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0702,-6.00,0919,-31.00,0.00,0.00,184.00,1404.00,,,,,,,
7/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1925,-7.00,2148,-27.00,0.00,0.00,185.00,1404.00,,,,,,,
7/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0558,-2.00,0702,-8.00,0.00,0.00,44.00,290.00,,,,,,,
7/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1322,12.00,1446,21.00,0.00,0.00,56.00,290.00,0.00,0.00,9.00,0.00,12.00,,
7/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1510,0.00,1629,3.00,0.00,0.00,59.00,290.00,,,,,,,
7/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1800,361.00,1909,359.00,0.00,0.00,50.00,290.00,0.00,0.00,0.00,0.00,359.00,,
7/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1935,-10.00,2104,-1.00,0.00,0.00,51.00,290.00,,,,,,,
7/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0555,-5.00,0915,-5.00,0.00,0.00,293.00,2105.00,,,,,,,
7/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1105,0.00,1432,1.00,0.00,0.00,300.00,2105.00,,,,,,,
7/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1840,0.00,2226,11.00,0.00,0.00,317.00,2105.00,,,,,,,
7/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,2042,74.00,0006,76.00,0.00,0.00,301.00,2105.00,74.00,0.00,2.00,0.00,0.00,,
7/1/2022 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,0645,-10.00,0755,-12.00,0.00,0.00,54.00,358.00,,,,,,,
7/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0704,-1.00,0959,-9.00,0.00,0.00,88.00,574.00,,,,,,,
7/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0951,-9.00,1237,-18.00,0.00,0.00,86.00,574.00,,,,,,,
