FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
6/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0559,4.00,0726,-3.00,0.00,0.00,70.00,493.00,,,,,,,
6/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1246,1.00,1428,-5.00,0.00,0.00,76.00,493.00,,,,,,,
6/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1756,-3.00,1954,9.00,0.00,0.00,88.00,493.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0810,0.00,0946,-34.00,0.00,0.00,202.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1010,-5.00,1150,-28.00,0.00,0.00,192.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1226,6.00,1359,-23.00,0.00,0.00,193.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1410,0.00,1606,-4.00,0.00,0.00,194.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1538,5.00,1718,-22.00,0.00,0.00,198.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1757,0.00,1935,-29.00,0.00,0.00,204.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1946,11.00,2126,-14.00,0.00,0.00,203.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2120,4.00,2302,-18.00,0.00,0.00,192.00,1590.00,,,,,,,
6/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,PVU,"Provo, UT",Utah,1740,-6.00,1935,3.00,0.00,0.00,150.00,1051.00,,,,,,,
6/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0521,-4.00,0707,-18.00,0.00,0.00,145.00,1086.00,,,,,,,
6/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1047,2.00,1230,-10.00,0.00,0.00,143.00,1086.00,,,,,,,
6/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1210,-5.00,1354,-25.00,0.00,0.00,144.00,1086.00,,,,,,,
6/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1919,-11.00,2108,-22.00,0.00,0.00,149.00,1086.00,,,,,,,
6/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,0941,-10.00,1203,-16.00,0.00,0.00,65.00,477.00,,,,,,,
6/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1610,18.00,1837,17.00,0.00,0.00,61.00,477.00,0.00,0.00,0.00,0.00,17.00,,
6/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0523,-7.00,0634,-17.00,0.00,0.00,55.00,387.00,,,,,,,
6/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1133,-7.00,1259,-11.00,0.00,0.00,64.00,387.00,,,,,,,
6/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1913,23.00,2034,11.00,0.00,0.00,61.00,387.00,,,,,,,
6/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0720,5.00,0936,-21.00,0.00,0.00,179.00,1404.00,,,,,,,
6/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1912,-3.00,2132,-20.00,0.00,0.00,182.00,1404.00,,,,,,,
6/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0610,-5.00,0710,-15.00,0.00,0.00,45.00,290.00,,,,,,,
6/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1048,-7.00,1156,-15.00,0.00,0.00,51.00,290.00,,,,,,,
6/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1322,-3.00,1432,-7.00,0.00,0.00,49.00,290.00,,,,,,,
6/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1455,-5.00,1619,3.00,0.00,0.00,57.00,290.00,,,,,,,
6/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1936,-9.00,2057,-5.00,0.00,0.00,46.00,290.00,,,,,,,
6/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0642,-8.00,0926,-59.00,0.00,0.00,266.00,2105.00,,,,,,,
6/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1020,-5.00,1314,-39.00,0.00,0.00,263.00,2105.00,,,,,,,
6/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1247,-2.00,1616,1.00,0.00,0.00,275.00,2105.00,,,,,,,
6/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1816,31.00,2104,-14.00,0.00,0.00,258.00,2105.00,,,,,,,
6/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1115,-13.00,1230,-25.00,0.00,0.00,61.00,358.00,,,,,,,
6/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1934,-12.00,2109,-6.00,0.00,0.00,55.00,358.00,,,,,,,
6/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0651,-9.00,0948,-18.00,0.00,0.00,90.00,574.00,,,,,,,
6/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0954,-4.00,1247,-3.00,0.00,0.00,85.00,574.00,,,,,,,
6/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1441,26.00,1723,23.00,0.00,0.00,83.00,574.00,0.00,0.00,0.00,0.00,23.00,,
6/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1723,3.00,2010,-8.00,0.00,0.00,86.00,574.00,,,,,,,
6/1/2023 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,0712,-3.00,0916,-42.00,0.00,0.00,229.00,1865.00,,,,,,,
6/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,0550,-10.00,0710,-8.00,0.00,0.00,54.00,347.00,,,,,,,
6/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1315,-4.00,1430,-8.00,0.00,0.00,57.00,347.00,,,,,,,
6/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1854,-5.00,2012,-11.00,0.00,0.00,55.00,347.00,,,,,,,
6/1/2023 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,1512,-10.00,1632,3.00,0.00,0.00,54.00,221.00,,,,,,,
6/1/2023 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,1845,-12.00,1939,-29.00,0.00,0.00,41.00,221.00,,,,,,,
6/1/2023 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,0903,-1.00,1103,-20.00,0.00,0.00,212.00,1727.00,,,,,,,
6/1/2023 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,1853,-2.00,2113,-18.00,0.00,0.00,218.00,1727.00,,,,,,,
6/1/2023 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,2034,-3.00,2226,-30.00,0.00,0.00,214.00,1727.00,,,,,,,
6/1/2023 12:00:00 AM,CNY,"Moab, UT",Utah,DEN,"Denver, CO",Colorado,1410,0.00,1536,11.00,0.00,0.00,49.00,283.00,,,,,,,
6/1/2023 12:00:00 AM,CNY,"Moab, UT",Utah,SLC,"Salt Lake City, UT",Utah,1520,-10.00,1624,-9.00,0.00,0.00,44.00,183.00,,,,,,,
