FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
3/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0534,-6.00,0716,-11.00,0.00,0.00,75.00,493.00,,,,,,,
3/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1243,5.00,1424,-9.00,0.00,0.00,78.00,493.00,,,,,,,
3/1/2023 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,2019,133.00,2218,138.00,0.00,0.00,94.00,493.00,138.00,0.00,0.00,0.00,0.00,,
3/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0800,-5.00,1012,-13.00,0.00,0.00,230.00,1590.00,,,,,,,
3/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1059,-1.00,1317,-2.00,0.00,0.00,234.00,1590.00,,,,,,,
3/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1201,1.00,1411,-4.00,0.00,0.00,227.00,1590.00,,,,,,,
3/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1409,-1.00,1635,8.00,0.00,0.00,239.00,1590.00,,,,,,,
3/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1512,0.00,1732,3.00,0.00,0.00,240.00,1590.00,,,,,,,
3/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1752,-1.00,2017,7.00,0.00,0.00,240.00,1590.00,,,,,,,
3/1/2023 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1938,9.00,2215,30.00,0.00,0.00,245.00,1590.00,9.00,0.00,21.00,0.00,0.00,,
3/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0740,0.00,0936,-9.00,0.00,0.00,153.00,1086.00,,,,,,,
3/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1107,-3.00,1257,-8.00,0.00,0.00,155.00,1086.00,,,,,,,
3/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1253,30.00,1444,15.00,0.00,0.00,155.00,1086.00,0.00,0.00,0.00,0.00,15.00,,
3/1/2023 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,2030,40.00,2218,24.00,0.00,0.00,152.00,1086.00,24.00,0.00,0.00,0.00,0.00,,
3/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1834,81.00,2012,86.00,0.00,0.00,74.00,477.00,8.00,0.00,5.00,0.00,73.00,,
3/1/2023 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,2114,95.00,2252,100.00,0.00,0.00,72.00,477.00,0.00,13.00,5.00,0.00,82.00,,
3/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0508,-13.00,0623,-31.00,0.00,0.00,61.00,387.00,,,,,,,
3/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1151,-4.00,1311,-9.00,0.00,0.00,61.00,387.00,,,,,,,
3/1/2023 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1845,-10.00,2015,-15.00,0.00,0.00,71.00,387.00,,,,,,,
3/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,PVU,"Provo, UT",Utah,0821,-9.00,1116,6.00,0.00,0.00,216.00,1388.00,,,,,,,
3/1/2023 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0723,-5.00,1022,-3.00,0.00,0.00,220.00,1404.00,,,,,,,
3/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0607,-3.00,0821,46.00,0.00,0.00,47.00,290.00,0.00,0.00,46.00,0.00,0.00,,
3/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1114,-1.00,1225,-4.00,0.00,0.00,48.00,290.00,,,,,,,
3/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1311,-8.00,1427,-3.00,0.00,0.00,59.00,290.00,,,,,,,
3/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1520,3.00,1649,17.00,0.00,0.00,67.00,290.00,0.00,17.00,0.00,0.00,0.00,,
3/1/2023 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1948,-7.00,2057,-15.00,0.00,0.00,51.00,290.00,,,,,,,
3/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0616,-4.00,1022,15.00,0.00,0.00,322.00,2105.00,0.00,0.00,15.00,0.00,0.00,,
3/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1830,25.00,2219,24.00,0.00,0.00,320.00,2105.00,24.00,0.00,0.00,0.00,0.00,,
3/1/2023 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1859,41.00,2245,47.00,0.00,0.00,324.00,2105.00,0.00,41.00,6.00,0.00,0.00,,
3/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1119,-14.00,1229,-31.00,0.00,0.00,55.00,358.00,,,,,,,
3/1/2023 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1753,-22.00,1857,-49.00,0.00,0.00,52.00,358.00,,,,,,,
3/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0652,-8.00,0950,-19.00,0.00,0.00,81.00,574.00,,,,,,,
3/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1025,15.00,1301,-3.00,0.00,0.00,80.00,574.00,,,,,,,
3/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1217,2.00,1502,2.00,0.00,0.00,82.00,574.00,,,,,,,
3/1/2023 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1704,-5.00,1949,-20.00,0.00,0.00,84.00,574.00,,,,,,,
3/1/2023 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,0711,-4.00,1017,-6.00,0.00,0.00,289.00,1865.00,,,,,,,
3/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,0655,-5.00,0832,-7.00,0.00,0.00,53.00,347.00,,,,,,,
3/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1328,6.00,1444,0.00,0.00,0.00,59.00,347.00,,,,,,,
3/1/2023 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1837,-10.00,1948,-28.00,0.00,0.00,58.00,347.00,,,,,,,
3/1/2023 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,1311,-9.00,1414,-20.00,0.00,0.00,42.00,221.00,,,,,,,
3/1/2023 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,1844,-9.00,1930,-45.00,0.00,0.00,37.00,221.00,,,,,,,
3/1/2023 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,1826,-4.00,2101,-3.00,0.00,0.00,248.00,1727.00,,,,,,,
3/1/2023 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,1851,-4.00,2146,0.00,0.00,0.00,267.00,1727.00,,,,,,,
3/1/2023 12:00:00 AM,CNY,"Moab, UT",Utah,DEN,"Denver, CO",Colorado,1555,62.00,1724,68.00,0.00,0.00,54.00,283.00,0.00,0.00,68.00,0.00,0.00,,
3/1/2023 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0804,-6.00,0956,-18.00,0.00,0.00,85.00,411.00,,,,,,,
3/1/2023 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1601,-11.00,1757,-14.00,0.00,0.00,86.00,411.00,,,,,,,
3/1/2023 12:00:00 AM,CPR,"Casper, WY",Wyoming,SLC,"Salt Lake City, UT",Utah,0558,-2.00,0741,14.00,0.00,0.00,58.00,320.00,,,,,,,
3/1/2023 12:00:00 AM,CVG,"Cincinnati, OH",Kentucky,SLC,"Salt Lake City, UT",Utah,0754,-6.00,0959,-10.00,0.00,0.00,226.00,1450.00,,,,,,,
3/1/2023 12:00:00 AM,DAL,"Dallas, TX",Texas,SLC,"Salt Lake City, UT",Utah,0903,3.00,1100,5.00,0.00,0.00,149.00,999.00,,,,,,,
3/1/2023 12:00:00 AM,DAL,"Dallas, TX",Texas,SLC,"Salt Lake City, UT",Utah,1738,23.00,1927,17.00,0.00,0.00,146.00,999.00,17.00,0.00,0.00,0.00,0.00,,
3/1/2023 12:00:00 AM,DCA,"Washington, DC",Virginia,SLC,"Salt Lake City, UT",Utah,1707,-3.00,2032,17.00,0.00,0.00,277.00,1851.00,0.00,0.00,17.00,0.00,0.00,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,CNY,"Moab, UT",Utah,1242,-8.00,1423,13.00,0.00,0.00,49.00,283.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,1413,13.00,1613,22.00,0.00,0.00,85.00,517.00,22.00,0.00,0.00,0.00,0.00,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,2054,9.00,2231,-7.00,0.00,0.00,76.00,517.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0528,-2.00,0654,-21.00,0.00,0.00,71.00,391.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0534,4.00,0703,-22.00,0.00,0.00,72.00,391.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0645,0.00,0809,-26.00,0.00,0.00,68.00,391.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0814,-3.00,0943,-11.00,0.00,0.00,74.00,391.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0820,5.00,0947,-3.00,0.00,0.00,67.00,391.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0827,-1.00,1007,-18.00,0.00,0.00,74.00,391.00,,,,,,,
3/1/2023 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1241,36.00,1425,40.00,0.00,0.00,64.00,391.00,16.00,0.00,4.00,0.00,20.00,,
