FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
3/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0637,-3.00,0812,-22.00,0.00,0.00,79.00,493.00,,,,,,,
3/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1249,-3.00,1427,-17.00,0.00,0.00,75.00,493.00,,,,,,,
3/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1817,-3.00,1946,-29.00,0.00,0.00,75.00,493.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0803,-2.00,1010,-20.00,0.00,0.00,211.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0956,6.00,1205,-5.00,0.00,0.00,213.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1223,1.00,1438,-7.00,0.00,0.00,213.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1416,5.00,1608,-25.00,0.00,0.00,200.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1632,2.00,1818,-31.00,0.00,0.00,206.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1802,9.00,1959,-16.00,0.00,0.00,213.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1930,0.00,2120,-30.00,0.00,0.00,208.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2113,1.00,2255,-34.00,0.00,0.00,200.00,1590.00,,,,,,,
3/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0754,-6.00,0957,-16.00,0.00,0.00,157.00,1086.00,,,,,,,
3/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1126,-4.00,1307,-18.00,0.00,0.00,151.00,1086.00,,,,,,,
3/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1212,7.00,1412,-5.00,0.00,0.00,152.00,1086.00,,,,,,,
3/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1928,-2.00,2117,-21.00,0.00,0.00,147.00,1086.00,,,,,,,
3/1/2022 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1848,18.00,2013,13.00,0.00,0.00,70.00,477.00,,,,,,,
3/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0542,-14.00,0704,-31.00,0.00,0.00,61.00,387.00,,,,,,,
3/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1233,13.00,1358,7.00,0.00,0.00,66.00,387.00,,,,,,,
3/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1820,-8.00,1941,-30.00,0.00,0.00,64.00,387.00,,,,,,,
3/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0646,-5.00,0904,-51.00,0.00,0.00,184.00,1404.00,,,,,,,
3/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1345,0.00,1621,-14.00,0.00,0.00,197.00,1404.00,,,,,,,
3/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0555,-5.00,0657,-27.00,0.00,0.00,41.00,290.00,,,,,,,
3/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1145,10.00,1256,8.00,0.00,0.00,52.00,290.00,,,,,,,
3/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1303,-8.00,1408,-13.00,0.00,0.00,47.00,290.00,,,,,,,
3/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1539,-7.00,1645,-10.00,0.00,0.00,47.00,290.00,,,,,,,
3/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1935,-7.00,2038,-24.00,0.00,0.00,48.00,290.00,,,,,,,
3/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0602,-3.00,0930,-20.00,0.00,0.00,301.00,2105.00,,,,,,,
3/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1759,14.00,2126,2.00,0.00,0.00,300.00,2105.00,,,,,,,
3/1/2022 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,0703,-7.00,0816,-23.00,0.00,0.00,56.00,358.00,,,,,,,
3/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0700,-5.00,0944,-24.00,0.00,0.00,85.00,574.00,,,,,,,
3/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1004,-6.00,1250,-19.00,0.00,0.00,88.00,574.00,,,,,,,
