FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
5/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0636,-4.00,0759,-24.00,0.00,0.00,72.00,493.00,,,,,,,
5/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1250,-10.00,1428,-15.00,0.00,0.00,77.00,493.00,,,,,,,
5/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1828,3.00,2008,0.00,0.00,0.00,75.00,493.00,,,,,,,
5/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0836,31.00,1043,28.00,0.00,0.00,223.00,1590.00,28.00,0.00,0.00,0.00,0.00,,
5/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0956,-4.00,1151,-21.00,0.00,0.00,215.00,1590.00,,,,,,,
5/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1220,-2.00,1434,4.00,0.00,0.00,229.00,1590.00,,,,,,,
5/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1446,6.00,1651,6.00,0.00,0.00,223.00,1590.00,,,,,,,
5/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1637,-1.00,1836,-9.00,0.00,0.00,220.00,1590.00,,,,,,,
5/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1740,-2.00,1944,-6.00,0.00,0.00,224.00,1590.00,,,,,,,
5/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2005,29.00,2208,24.00,0.00,0.00,222.00,1590.00,0.00,0.00,0.00,0.00,24.00,,
