FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
11/1/2021 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0549,-3.00,0731,-4.00,0.00,0.00,85.00,493.00,,,,,,,
11/1/2021 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1317,-10.00,1455,-14.00,0.00,0.00,78.00,493.00,,,,,,,
11/1/2021 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1753,-6.00,1931,-12.00,0.00,0.00,79.00,493.00,,,,,,,
11/1/2021 12:00:00 AM,ANC,"Anchorage, AK",Alaska,SLC,"Salt Lake City, UT",Utah,0040,-10.00,0732,2.00,0.00,0.00,259.00,2125.00,,,,,,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0820,10.00,1023,8.00,0.00,0.00,222.00,1590.00,,,,,,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1015,15.00,1220,20.00,0.00,0.00,215.00,1590.00,15.00,0.00,5.00,0.00,0.00,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1229,-1.00,1428,-7.00,0.00,0.00,222.00,1590.00,,,,,,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1403,0.00,1617,13.00,0.00,0.00,227.00,1590.00,,,,,,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1510,0.00,1716,6.00,0.00,0.00,226.00,1590.00,,,,,,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1922,2.00,2133,11.00,0.00,0.00,223.00,1590.00,,,,,,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1948,113.00,2205,133.00,0.00,0.00,223.00,1590.00,113.00,0.00,20.00,0.00,0.00,,
11/1/2021 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2108,3.00,2316,8.00,0.00,0.00,216.00,1590.00,,,,,,,
11/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0619,41.00,0813,38.00,0.00,0.00,155.00,1086.00,38.00,0.00,0.00,0.00,0.00,,
11/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0801,-4.00,0956,-2.00,0.00,0.00,154.00,1086.00,,,,,,,
11/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1233,-6.00,1428,-7.00,0.00,0.00,149.00,1086.00,,,,,,,
11/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1514,19.00,1659,14.00,0.00,0.00,151.00,1086.00,,,,,,,
11/1/2021 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1912,5.00,2105,0.00,0.00,0.00,149.00,1086.00,,,,,,,
