FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
10/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0551,-4.00,0726,-7.00,0.00,0.00,77.00,493.00,,,,,,,
10/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1227,-8.00,1412,-7.00,0.00,0.00,82.00,493.00,,,,,,,
10/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1744,-6.00,1916,-18.00,0.00,0.00,74.00,493.00,,,,,,,
10/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0810,0.00,1008,-3.00,0.00,0.00,199.00,1590.00,,,,,,,
10/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1035,-3.00,1218,-19.00,0.00,0.00,204.00,1590.00,,,,,,,
10/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1221,-1.00,1406,-14.00,0.00,0.00,205.00,1590.00,,,,,,,
10/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1402,-5.00,1600,-5.00,0.00,0.00,206.00,1590.00,,,,,,,
10/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1504,-6.00,1711,7.00,0.00,0.00,215.00,1590.00,,,,,,,
10/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1833,33.00,2030,29.00,0.00,0.00,203.00,1590.00,22.00,0.00,0.00,0.00,7.00,,
10/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2155,-4.00,2339,-18.00,0.00,0.00,204.00,1590.00,,,,,,,
10/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0756,-4.00,0944,-10.00,0.00,0.00,141.00,1086.00,,,,,,,
10/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1245,-7.00,1431,-9.00,0.00,0.00,140.00,1086.00,,,,,,,
10/1/2022 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,0924,14.00,1148,8.00,0.00,0.00,68.00,477.00,,,,,,,
10/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0525,-5.00,0638,-14.00,0.00,0.00,58.00,387.00,,,,,,,
10/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1137,-4.00,1255,-15.00,0.00,0.00,66.00,387.00,,,,,,,
10/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0744,-6.00,1012,-13.00,0.00,0.00,185.00,1404.00,,,,,,,
10/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1741,11.00,2010,1.00,0.00,0.00,187.00,1404.00,,,,,,,
10/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0615,0.00,0723,1.00,0.00,0.00,43.00,290.00,,,,,,,
10/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1113,-8.00,1239,1.00,0.00,0.00,49.00,290.00,,,,,,,
10/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1314,2.00,1418,-5.00,0.00,0.00,45.00,290.00,,,,,,,
10/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1514,-3.00,1623,-10.00,0.00,0.00,49.00,290.00,,,,,,,
10/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0619,-1.00,0914,-26.00,0.00,0.00,275.00,2105.00,,,,,,,
10/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1620,5.00,1920,-14.00,0.00,0.00,273.00,2105.00,,,,,,,
10/1/2022 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,0650,-5.00,0802,-10.00,0.00,0.00,57.00,358.00,,,,,,,
10/1/2022 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,1713,-2.00,1822,-6.00,0.00,0.00,58.00,358.00,,,,,,,
10/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0658,-2.00,0944,-16.00,0.00,0.00,81.00,574.00,,,,,,,
10/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0914,-1.00,1149,-16.00,0.00,0.00,79.00,574.00,,,,,,,
10/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0954,-6.00,1236,-15.00,0.00,0.00,83.00,574.00,,,,,,,
10/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1310,-12.00,1555,-20.00,0.00,0.00,83.00,574.00,,,,,,,
10/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1653,-7.00,1934,-18.00,0.00,0.00,79.00,574.00,,,,,,,
10/1/2022 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,0728,-2.00,1011,1.00,0.00,0.00,241.00,1865.00,,,,,,,
10/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,0558,-2.00,0712,-5.00,0.00,0.00,53.00,347.00,,,,,,,
10/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1140,-6.00,1250,-20.00,0.00,0.00,56.00,347.00,,,,,,,
10/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1333,12.00,1447,7.00,0.00,0.00,58.00,347.00,,,,,,,
10/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1819,-2.00,1934,-11.00,0.00,0.00,60.00,347.00,,,,,,,
10/1/2022 12:00:00 AM,CDC,"Cedar City, UT",Utah,SLC,"Salt Lake City, UT",Utah,1900,-3.00,1947,-26.00,0.00,0.00,36.00,221.00,,,,,,,
10/1/2022 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,0916,-8.00,1129,-29.00,0.00,0.00,225.00,1727.00,,,,,,,
10/1/2022 12:00:00 AM,CLT,"Charlotte, NC",North Carolina,SLC,"Salt Lake City, UT",Utah,1657,-2.00,1912,-16.00,0.00,0.00,222.00,1727.00,,,,,,,
10/1/2022 12:00:00 AM,CNY,"Moab, UT",Utah,DEN,"Denver, CO",Colorado,1120,-10.00,1241,-3.00,0.00,0.00,47.00,283.00,,,,,,,
10/1/2022 12:00:00 AM,CNY,"Moab, UT",Utah,DEN,"Denver, CO",Colorado,1714,138.00,1857,167.00,0.00,0.00,45.00,283.00,167.00,0.00,0.00,0.00,0.00,,
10/1/2022 12:00:00 AM,CNY,"Moab, UT",Utah,SLC,"Salt Lake City, UT",Utah,1525,-7.00,1614,-26.00,0.00,0.00,35.00,183.00,,,,,,,
10/1/2022 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0812,-8.00,1000,-16.00,0.00,0.00,78.00,411.00,,,,,,,
10/1/2022 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1228,-6.00,1404,-19.00,0.00,0.00,75.00,411.00,,,,,,,
10/1/2022 12:00:00 AM,COS,"Colorado Springs, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1748,-2.00,1919,-19.00,0.00,0.00,72.00,411.00,,,,,,,
10/1/2022 12:00:00 AM,CPR,"Casper, WY",Wyoming,SLC,"Salt Lake City, UT",Utah,0604,-1.00,0708,-14.00,0.00,0.00,52.00,320.00,,,,,,,
10/1/2022 12:00:00 AM,CVG,"Cincinnati, OH",Kentucky,SLC,"Salt Lake City, UT",Utah,0811,-4.00,0950,-9.00,0.00,0.00,194.00,1450.00,,,,,,,
10/1/2022 12:00:00 AM,CVG,"Cincinnati, OH",Kentucky,SLC,"Salt Lake City, UT",Utah,1637,2.00,1810,-7.00,0.00,0.00,197.00,1450.00,,,,,,,
10/1/2022 12:00:00 AM,DAL,"Dallas, TX",Texas,SLC,"Salt Lake City, UT",Utah,0933,-2.00,1113,-12.00,0.00,0.00,135.00,999.00,,,,,,,
10/1/2022 12:00:00 AM,DCA,"Washington, DC",Virginia,SLC,"Salt Lake City, UT",Utah,1728,-7.00,1953,-22.00,0.00,0.00,237.00,1851.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,CNY,"Moab, UT",Utah,0912,-2.00,1020,-5.00,0.00,0.00,51.00,283.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,CNY,"Moab, UT",Utah,1536,146.00,1645,144.00,0.00,0.00,52.00,283.00,144.00,0.00,0.00,0.00,0.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,1635,62.00,1845,84.00,0.00,0.00,95.00,517.00,0.00,0.00,0.00,0.00,84.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SGU,"St. George, UT",Utah,2110,44.00,2304,50.00,0.00,0.00,84.00,517.00,0.00,0.00,0.00,0.00,50.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,,,,,1.00,0.00,,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0534,-6.00,0655,-14.00,0.00,0.00,64.00,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0700,0.00,0823,-12.00,0.00,0.00,63.00,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0820,0.00,1000,-2.00,0.00,0.00,77.00,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,0919,-1.00,1036,-24.00,0.00,0.00,61.00,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1239,2.00,1412,5.00,0.00,0.00,71.00,391.00,,,,,,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1302,73.00,1422,59.00,0.00,0.00,61.00,391.00,0.00,0.00,0.00,0.00,59.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1322,24.00,1453,25.00,0.00,0.00,63.00,391.00,24.00,0.00,1.00,0.00,0.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1405,23.00,1538,19.00,0.00,0.00,69.00,391.00,0.00,0.00,0.00,0.00,19.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1739,8.00,1927,19.00,0.00,0.00,63.00,391.00,19.00,0.00,0.00,0.00,0.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,1913,33.00,2040,26.00,0.00,0.00,62.00,391.00,3.00,0.00,0.00,0.00,23.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,2009,62.00,2202,78.00,0.00,0.00,64.00,391.00,78.00,0.00,0.00,0.00,0.00,,
10/1/2022 12:00:00 AM,DEN,"Denver, CO",Colorado,SLC,"Salt Lake City, UT",Utah,2100,45.00,2223,38.00,0.00,0.00,60.00,391.00,38.00,0.00,0.00,0.00,0.00,,
