FL_DATE,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY,DIV_DISTANCE
9/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,0552,-3.00,0721,-14.00,0.00,0.00,78.00,493.00,,,,,,,
9/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1224,-6.00,1356,-20.00,0.00,0.00,78.00,493.00,,,,,,,
9/1/2022 12:00:00 AM,ABQ,"Albuquerque, NM",New Mexico,SLC,"Salt Lake City, UT",Utah,1747,-3.00,1914,-21.00,0.00,0.00,72.00,493.00,,,,,,,
9/1/2022 12:00:00 AM,ANC,"Anchorage, AK",Alaska,SLC,"Salt Lake City, UT",Utah,2328,-2.00,0550,-14.00,0.00,0.00,250.00,2125.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,0810,0.00,1007,-5.00,0.00,0.00,211.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1029,-4.00,1217,-12.00,0.00,0.00,209.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1212,-3.00,1354,-14.00,0.00,0.00,203.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1404,-1.00,1549,-11.00,0.00,0.00,202.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1520,-2.00,1701,-18.00,0.00,0.00,203.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1750,1.00,1933,-16.00,0.00,0.00,208.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1913,3.00,2053,-20.00,0.00,0.00,206.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2018,8.00,2203,-12.00,0.00,0.00,203.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,2222,-3.00,0016,-10.00,0.00,0.00,210.00,1590.00,,,,,,,
9/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,PVU,"Provo, UT",Utah,1510,-3.00,1646,-17.00,0.00,0.00,137.00,1051.00,,,,,,,
9/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,0826,-4.00,1012,-13.00,0.00,0.00,142.00,1086.00,,,,,,,
9/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1046,1.00,1236,11.00,0.00,0.00,150.00,1086.00,,,,,,,
9/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1242,-4.00,1425,-15.00,0.00,0.00,138.00,1086.00,,,,,,,
9/1/2022 12:00:00 AM,AUS,"Austin, TX",Texas,SLC,"Salt Lake City, UT",Utah,1740,0.00,1923,-11.00,0.00,0.00,138.00,1086.00,,,,,,,
9/1/2022 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,0652,-8.00,0914,-14.00,0.00,0.00,70.00,477.00,,,,,,,
9/1/2022 12:00:00 AM,AZA,"Phoenix, AZ",Arizona,PVU,"Provo, UT",Utah,1328,0.00,1605,9.00,0.00,0.00,68.00,477.00,,,,,,,
9/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,0521,-9.00,0639,-13.00,0.00,0.00,53.00,387.00,,,,,,,
9/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1208,-7.00,1334,-11.00,0.00,0.00,64.00,387.00,,,,,,,
9/1/2022 12:00:00 AM,BIL,"Billings, MT",Montana,SLC,"Salt Lake City, UT",Utah,1828,-6.00,1949,-16.00,0.00,0.00,58.00,387.00,,,,,,,
9/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,0743,-2.00,1017,-13.00,0.00,0.00,186.00,1404.00,,,,,,,
9/1/2022 12:00:00 AM,BNA,"Nashville, TN",Tennessee,SLC,"Salt Lake City, UT",Utah,1923,-4.00,2141,-30.00,0.00,0.00,181.00,1404.00,,,,,,,
9/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,0557,-3.00,0710,0.00,0.00,0.00,43.00,290.00,,,,,,,
9/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1118,3.00,1228,0.00,0.00,0.00,43.00,290.00,,,,,,,
9/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1308,-2.00,1415,-8.00,0.00,0.00,50.00,290.00,,,,,,,
9/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1500,-9.00,1615,-10.00,0.00,0.00,49.00,290.00,,,,,,,
9/1/2022 12:00:00 AM,BOI,"Boise, ID",Idaho,SLC,"Salt Lake City, UT",Utah,1948,3.00,2104,-1.00,0.00,0.00,53.00,290.00,,,,,,,
9/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,0620,-10.00,0933,-16.00,0.00,0.00,277.00,2105.00,,,,,,,
9/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1106,1.00,1411,-17.00,0.00,0.00,271.00,2105.00,,,,,,,
9/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1836,-4.00,2153,-21.00,0.00,0.00,273.00,2105.00,,,,,,,
9/1/2022 12:00:00 AM,BOS,"Boston, MA",Massachusetts,SLC,"Salt Lake City, UT",Utah,1931,3.00,2251,1.00,0.00,0.00,276.00,2105.00,,,,,,,
9/1/2022 12:00:00 AM,BTM,"Butte, MT",Montana,SLC,"Salt Lake City, UT",Utah,0605,-10.00,0731,3.00,0.00,0.00,53.00,358.00,,,,,,,
9/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0703,-2.00,0950,-18.00,0.00,0.00,88.00,574.00,,,,,,,
9/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,0951,-9.00,1300,5.00,0.00,0.00,84.00,574.00,,,,,,,
9/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1059,4.00,1351,16.00,0.00,0.00,81.00,574.00,0.00,0.00,16.00,0.00,0.00,,
9/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1320,-5.00,1616,-4.00,0.00,0.00,86.00,574.00,,,,,,,
9/1/2022 12:00:00 AM,BUR,"Burbank, CA",California,SLC,"Salt Lake City, UT",Utah,1906,-5.00,2213,10.00,0.00,0.00,96.00,574.00,,,,,,,
9/1/2022 12:00:00 AM,BWI,"Baltimore, MD",Maryland,SLC,"Salt Lake City, UT",Utah,0723,-2.00,0942,-20.00,0.00,0.00,247.00,1865.00,,,,,,,
9/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,0605,-10.00,0703,-31.00,0.00,0.00,49.00,347.00,,,,,,,
9/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1133,-7.00,1641,,0.00,1.00,,347.00,,,,,,217.00,0.00
9/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1302,-10.00,1414,-22.00,0.00,0.00,54.00,347.00,,,,,,,
9/1/2022 12:00:00 AM,BZN,"Bozeman, MT",Montana,SLC,"Salt Lake City, UT",Utah,1812,0.00,1933,-8.00,0.00,0.00,59.00,347.00,,,,,,,
